,ID_2020,ëIéËñº_2020,îN_2020,É`Å[ÉÄ_2020,ééçá_2020,ë≈ê»_2020,ë≈êî_2020,ìæì__2020,à¿ë≈_2020,ìÒó€ë≈_2020,éOó€ë≈_2020,ñ{ó€ë≈_2020,ó€ë≈_2020,ë≈ì__2020,ìêó€_2020,ìêó€éh_2020,ã]ë≈_2020,ã]îÚ_2020,élãÖ_2020,éÄãÖ_2020,éOêU_2020,ïπéEë≈_2020,ë≈ó¶_2020,í∑ë≈ó¶_2020,èoó€ó¶_2020,íPë≈_2020,wOBAï™éq_2020,wOBAï™ïÍ_2020,wOBA_2020,ÉäÅ[ÉO_2020,ÉäÅ[ÉOwOBA_2020,ë≈åÇìæì__2020,ÉäÅ[ÉOééçá_2020,ÉäÅ[ÉOë≈ê»_2020,ÉäÅ[ÉOìæì__2020,wRC_2020,ID_2019,ëIéËñº_2019,îN_2019,É`Å[ÉÄ_2019,ééçá_2019,ë≈ê»_2019,ë≈êî_2019,ìæì__2019,à¿ë≈_2019,ìÒó€ë≈_2019,éOó€ë≈_2019,ñ{ó€ë≈_2019,ó€ë≈_2019,ë≈ì__2019,ìêó€_2019,ìêó€éh_2019,ã]ë≈_2019,ã]îÚ_2019,élãÖ_2019,éÄãÖ_2019,éOêU_2019,ïπéEë≈_2019,ë≈ó¶_2019,í∑ë≈ó¶_2019,èoó€ó¶_2019,íPë≈_2019,wOBAï™éq_2019,wOBAï™ïÍ_2019,wOBA_2019,ÉäÅ[ÉO_2019,ÉäÅ[ÉOwOBA_2019,ë≈åÇìæì__2019,ÉäÅ[ÉOééçá_2019,ÉäÅ[ÉOë≈ê»_2019,ÉäÅ[ÉOìæì__2019,wRC_2019,ë≈ê»î‰ó¶,p_ë≈ê»_2019,p_ë≈êî_2019,p_ìæì__2019,p_à¿ë≈_2019,p_ìÒó€ë≈_2019,p_éOó€ë≈_2019,p_ñ{ó€ë≈_2019,p_ó€ë≈_2019,p_ë≈ì__2019,p_ìêó€_2019,p_ìêó€éh_2019,p_ã]ë≈_2019,p_ã]îÚ_2019,p_élãÖ_2019,p_éÄãÖ_2019,p_éOêU_2019,p_ïπéEë≈_2019,p_íPë≈_2019,p_wOBAï™éq_2019,p_wOBAï™ïÍ_2019,p_wOBA_2019,p_ë≈åÇìæì__2019,p_wRC_2019,êLÇ—
40,61365112,ÇsÅ|â™ìc,2020,ÉIÉäÉbÉNÉX,100,377,328,36,84,18,0,16,150,55,5,3,0,5,40,4,87,11,0.256,0.457,0.34,50,131.2,377,0.34801061007957557,Ép,0.31533049922877243,11.601439352035113,720,27080,2963,52.85147627965698,61365112.0,ÇsÅ|â™ìc,2019.0,ÉIÉäÉbÉNÉX,20.0,56.0,50.0,4.0,6.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,19.0,3.0,0.12,0.18,0.214,5.0,10.7,56.0,0.19107142857142856,Ép,0.31988897159161395,-6.655573056042912,858.0,32792.0,3698.0,-0.34037422706023346,6.732142857142857,377.0,336.60714285714283,26.928571428571427,40.39285714285714,0.0,0.0,6.732142857142857,60.58928571428571,13.464285714285714,0.0,0.0,0.0,0.0,40.39285714285714,0.0,127.91071428571428,20.19642857142857,33.660714285714285,72.03392857142856,377.0,0.19107142857142853,-44.80626860943175,-2.291447921459074,55.14292420111605
26,61965131,ì∞ó—Å@„ƒëæ,2020,çLìáìåóm,111,451,401,55,112,21,0,14,175,58,17,4,3,2,41,4,91,12,0.27899999999999997,0.436,0.35,77,156.1,448,0.3484375,ÉZ,0.3185745868775059,12.39310894583506,720,27093,2962,61.699645689643425,61965131.0,ì∞ó—Å@„ƒëæ,2019.0,çLìáìåóm,28.0,38.0,34.0,1.0,7.0,0.0,1.0,0.0,9.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,9.0,0.0,0.20600000000000002,0.265,0.25,6.0,8.4,36.0,0.23333333333333334,ÉZ,0.31900344388942325,-2.855670351869664,858.0,32803.0,3607.0,1.3227889353906477,11.868421052631579,451.0,403.5263157894737,11.868421052631579,83.07894736842105,0.0,11.868421052631579,0.0,106.8157894736842,23.736842105263158,0.0,0.0,23.736842105263158,0.0,23.736842105263158,0.0,106.8157894736842,0.0,71.21052631578948,99.69473684210526,427.2631578947369,0.2333333333333333,-33.89229812350576,15.699416048978463,46.00022964066496
46,21925117,ç‚å˚Å@íqó≤,2020,ìåãûÉÑÉNÉãÉg,114,458,398,55,98,14,1,9,141,36,4,5,3,3,47,7,60,8,0.24600000000000002,0.354,0.33399999999999996,74,142.2,455,0.3125274725274725,ÉZ,0.3185745868775059,-2.5952199085560057,720,27093,2962,47.47660676253985,21925117.0,ç‚å˚Å@íqó≤,2019.0,ìåãûÉÑÉNÉãÉg,22.0,77.0,64.0,2.0,8.0,1.0,0.0,0.0,9.0,2.0,0.0,0.0,1.0,0.0,10.0,2.0,13.0,2.0,0.125,0.141,0.263,7.0,16.0,76.0,0.21052631578947367,ÉZ,0.31900344388942325,-8.045387000746262,858.0,32803.0,3607.0,0.42149102870226507,5.9480519480519485,458.00000000000006,380.6753246753247,11.896103896103897,47.58441558441559,5.9480519480519485,0.0,0.0,53.532467532467535,11.896103896103897,0.0,0.0,5.9480519480519485,0.0,59.48051948051948,11.896103896103897,77.32467532467533,11.896103896103897,41.63636363636364,95.16883116883118,452.0519480519481,0.21052631578947367,-47.85437982262063,2.5070505343589176,44.969556228180934
1,41845136,ë∫è„Å@è@ó≤,2020,ìåãûÉÑÉNÉãÉg,120,515,424,70,130,30,2,28,248,86,11,5,0,1,87,3,115,8,0.307,0.585,0.42700000000000005,70,224.2,515,0.4353398058252427,ÉZ,0.3185745868775059,58.966435568607075,720,27093,2962,115.2699087904725,41845136.0,ë∫è„Å@è@ó≤,2019.0,ìåãûÉÑÉNÉãÉg,143.0,593.0,511.0,76.0,118.0,20.0,0.0,36.0,246.0,96.0,5.0,4.0,0.0,3.0,74.0,5.0,184.0,9.0,0.231,0.48100000000000004,0.332,62.0,209.1,593.0,0.35261382799325464,ÉZ,0.31900344388942325,18.90584105840515,858.0,32803.0,3607.0,84.1117978306516,0.8684654300168634,515.0,443.7858347386172,66.00337268128162,102.47892074198988,17.369308600337266,0.0,31.264755480607082,213.6424957841484,83.37268128161888,4.342327150084317,3.4738617200674535,0.0,2.60539629005059,64.2664418212479,4.342327150084317,159.79763912310287,7.8161888701517706,53.84485666104554,181.59612141652613,515.0,0.35261382799325464,16.419069384618304,73.04818867248832,42.22172011798418
39,61965139,ìcíÜÅ@çLï„,2020,çLìáìåóm,112,454,378,51,95,11,5,8,140,39,8,4,12,4,55,5,86,1,0.251,0.37,0.35100000000000003,71,144.2,442,0.32624434389140267,ÉZ,0.3185745868775059,3.3107784443321067,720,27093,2962,52.9452965855494,61965139.0,ìcíÜÅ@çLï„,2019.0,çLìáìåóm,97.0,355.0,311.0,33.0,60.0,13.0,0.0,3.0,82.0,27.0,8.0,3.0,4.0,6.0,32.0,2.0,89.0,4.0,0.193,0.264,0.268,44.0,86.3,351.0,0.24586894586894587,ÉZ,0.31900344388942325,-24.073438931740473,858.0,32803.0,3607.0,14.962167567665066,1.2788732394366198,454.0,397.72957746478875,42.202816901408454,76.73239436619718,16.625352112676058,0.0,3.8366197183098594,104.86760563380282,34.52957746478874,10.230985915492958,3.8366197183098594,5.115492957746479,7.673239436619719,40.92394366197183,2.5577464788732396,113.81971830985916,5.115492957746479,56.27042253521127,110.3667605633803,448.8845070422535,0.2458689458689459,-30.786876831014567,19.134715706253367,33.81058087929603
12,21325134,ëÂéRÅ@óIï„,2020,ç„Å@ê_,116,471,423,66,122,21,5,28,237,85,1,3,1,1,41,5,96,15,0.28800000000000003,0.56,0.35700000000000004,68,184.7,470,0.39297872340425527,ÉZ,0.3185745868775059,32.11778560071348,720,27093,2962,83.61086499391467,21325134.0,ëÂéRÅ@óIï„,2019.0,ç„Å@ê_,143.0,587.0,538.0,52.0,139.0,33.0,1.0,14.0,216.0,76.0,3.0,0.0,1.0,4.0,39.0,5.0,98.0,12.0,0.258,0.401,0.312,91.0,185.2,586.0,0.3160409556313993,ÉZ,0.31900344388942325,-1.5676500365376875,858.0,32803.0,3607.0,62.97855000614133,0.8023850085178875,471.0,431.6831345826235,41.724020442930154,111.53151618398637,26.47870528109029,0.8023850085178875,11.233390119250425,173.3151618398637,60.98126064735945,2.4071550255536627,0.0,0.8023850085178875,3.20954003407155,31.293015332197612,4.0119250425894375,78.63373083475298,9.62862010221465,73.01703577512777,148.60170357751278,470.1976149914821,0.31604095563139933,-1.2578588879203356,50.53304438312195,33.07782061079273
53,1005113,íÜìáÅ@çGîV,2020,ì«Å@îÑ,100,312,279,19,83,13,0,7,117,29,0,3,0,1,31,1,59,11,0.297,0.419,0.369,63,110.0,312,0.3525641025641026,ÉZ,0.3185745868775059,9.77198575989655,720,27093,2962,43.88205109042473,1005113.0,íÜìáÅ@çGîV,2019.0,ì«Å@îÑ,43.0,65.0,54.0,5.0,8.0,4.0,0.0,1.0,15.0,5.0,1.0,0.0,0.0,1.0,9.0,1.0,21.0,1.0,0.14800000000000002,0.278,0.27699999999999997,3.0,16.9,65.0,0.25999999999999995,ÉZ,0.31900344388942325,-3.736884779663476,858.0,32803.0,3607.0,3.410479790650215,4.8,312.0,259.2,24.0,38.4,19.2,0.0,4.8,72.0,24.0,4.8,0.0,0.0,4.8,43.199999999999996,4.8,100.8,4.8,14.399999999999999,81.11999999999999,312.0,0.25999999999999995,-17.937046942384686,16.370302995121026,27.511748095303705
106,91795130,ëqñ{Å@éıïF,2020,â°ïlDeNA,82,216,199,19,55,4,0,1,62,17,0,0,0,0,16,1,42,2,0.276,0.312,0.33299999999999996,50,64.1,216,0.2967592592592592,ÉZ,0.3185745868775059,-4.235809445876229,720,27093,2962,19.37885116756636,91795130.0,ëqñ{Å@éıïF,2019.0,â°ïlDeNA,24.0,35.0,33.0,1.0,4.0,1.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,7.0,0.0,0.121,0.152,0.171,3.0,5.3999999999999995,35.0,0.15428571428571428,ÉZ,0.31900344388942325,-5.078796662781027,858.0,32803.0,3607.0,-1.2302157403044243,6.171428571428572,216.0,203.65714285714287,6.171428571428572,24.685714285714287,6.171428571428572,0.0,0.0,30.857142857142858,12.342857142857143,0.0,6.171428571428572,0.0,0.0,12.342857142857143,0.0,43.2,0.0,18.514285714285716,33.32571428571429,216.00000000000003,0.15428571428571428,-31.34343083316291,-7.5921885687358746,26.971039736302235
10,61565114,äÅíJÅ@ó≤çK,2020,â°ïlDeNA,109,482,433,88,140,29,1,19,228,53,14,8,1,2,45,1,85,4,0.32299999999999995,0.527,0.387,91,191.4,481,0.39792099792099794,ÉZ,0.3185745868775059,35.044664877542324,720,27093,2962,87.74034272790958,61565114.0,äÅíJÅ@ó≤çK,2019.0,â°ïlDeNA,41.0,110.0,93.0,13.0,20.0,5.0,0.0,5.0,40.0,15.0,3.0,0.0,1.0,0.0,16.0,0.0,20.0,1.0,0.215,0.43,0.33,10.0,36.7,109.0,0.33669724770642206,ÉZ,0.31900344388942325,1.8578494007848754,858.0,32803.0,3607.0,13.953389442854197,4.381818181818182,482.0,407.5090909090909,56.96363636363636,87.63636363636364,21.90909090909091,0.0,21.90909090909091,175.27272727272728,65.72727272727273,13.145454545454545,0.0,4.381818181818182,0.0,70.10909090909091,0.0,87.63636363636364,4.381818181818182,43.81818181818183,160.81272727272727,477.6181818181818,0.336697247706422,8.140758283439155,61.141215558688366,26.599127169221212
11,91995134,ç≤ñÏÅ@åbëæ,2020,â°ïlDeNA,106,451,402,48,132,20,1,20,214,69,0,0,0,3,42,4,58,13,0.32799999999999996,0.532,0.395,91,181.7,451,0.4028824833702882,ÉZ,0.3185745868775059,35.12829020532596,720,27093,2962,84.43482694913433,91995134.0,ç≤ñÏÅ@åbëæ,2019.0,â°ïlDeNA,89.0,215.0,200.0,23.0,59.0,10.0,0.0,5.0,84.0,33.0,0.0,0.0,0.0,0.0,13.0,2.0,39.0,9.0,0.295,0.42,0.344,44.0,73.1,215.0,0.33999999999999997,ÉZ,0.31900344388942325,4.024339921193871,858.0,32803.0,3607.0,27.665622730693002,2.097674418604651,450.99999999999994,419.5348837209302,48.24651162790697,123.7627906976744,20.97674418604651,0.0,10.488372093023255,176.2046511627907,69.22325581395349,0.0,0.0,0.0,0.0,27.269767441860463,4.195348837209302,81.80930232558138,18.87906976744186,92.29767441860463,153.33999999999997,450.99999999999994,0.33999999999999997,8.441754904457838,58.033469076942055,26.40135787219228
